a,b,c,d
4820 -ÿPedra¡do,1,19,"19,"
4820 -ÿQueimadela,1,20,"20,"
4820 -ÿQuinchÆes,1,21,"21,"
4820 -ÿRegadas,1,22,"22,"
4820 -ÿRevelhe,1,23,"23,"
4820 -ÿRibeiros,1,24,"24,"
4820 -ÿAräes (Santa Cristina),1,25,"25,"
4820 -ÿSÆo Clemente (Silvares),1,26,"26,"
4820 -ÿSÆo Gens,1,27,"27,"
4820 -ÿSÆo Martinho (Silvares),1,28,"28,"
4820 -ÿAräes (SÆo RomÆo),1,29,"29,"
4820 -ÿSeidäes,1,30,"30,"
4820 -ÿSerafÆo,1,31,"31,"
4820 -ÿTravass¢s,1,32,"32,"
4820 -ÿV rzea Cova,1,33,"33,"
4820 -ÿVila Cova,1,34,"34,"
4820 -ÿVinh¢s,1,35,"35,"
GuimarÆesÿmunicipality[edit],0,36,"36,"
4800 -ÿAldÆo,1,0,"0,"
4800 -ÿArosa,1,1,"1,"
4800 -ÿAtÆes,1,2,"2,"
4800 -ÿAzur‚m,1,3,"3,"
4805 -ÿBalazar,1,4,"4,"
4805 -ÿBarco,1,5,"5,"
4805 -ÿBrito,1,6,"6,"
4805 -ÿCaldelas,1,7,"7,"
4810 -ÿCalvos,1,8,"8,"
4800 -ÿCasteläes,1,9,"9,"
4815 -ÿConde (GuimarÆes),1,10,"10,"
4810 -ÿCosta,1,11,"11,"
4835 -ÿCreixomil,1,12,"12,"
4805 -ÿDonim,1,13,"13,"
4800 -ÿFermentäes,1,14,"14,"
4805 -ÿFigueiredo,1,15,"15,"
4835 -ÿGandarela,1,16,"16,"
4810 -ÿG‚meos,1,17,"17,"
4800 -ÿGominhÆes,1,18,"18,"
4800 -ÿGon‡a,1,19,"19,"
4835 -ÿGondar,1,20,"20,"
4800 -ÿGondomar,1,21,"21,"
4765 -ÿGuardizela,1,22,"22,"
4810 -ÿInfantas,1,23,"23,"
4805 -ÿLeitäes,1,24,"24,"
4805 -ÿLongos,1,25,"25,"
4815 -ÿLordelo,1,26,"26,"
4835 -ÿMascotelos,1,27,"27,"
4810 -ÿMesÆo Frio,1,28,"28,"
4815 -ÿMoreira de C¢negos,1,29,"29,"
4835 -ÿNespereira,1,30,"30,"
4805 -ÿSÆo Vicente de Oleiros,1,31,"31,"
4800 -ÿOliveira do Castelo,1,32,"32,"
4800 -ÿPencelo,1,33,"33,"
4810 -ÿPinheiro,1,34,"34,"
4835 -ÿPolvoreira,1,35,"35,"
4805 -ÿPonte,1,36,"36,"
4800 -ÿRendufe,1,37,"37,"
4805 -ÿRonfe,1,38,"38,"
4805 -ÿSalvador (Briteiros),1,39,"39,"
4800 -ÿSanta Euf‚mia Prazins,1,40,"40,"
4809 -ÿSanta Leoc dia (Briteiros),1,41,"41,"
4805 -ÿSanta Maria (AirÆo),1,42,"42,"
4800 -ÿSouto (Santa Maria),1,43,"43,"
4835 -ÿSantiago (Candoso),1,44,"44,"
4805 -ÿSanto EstevÆo (Briteiros),1,45,"45,"
4800 -ÿSanto Tirso (Prazins),1,46,"46,"
4805 -ÿSÆo Clemente Sande,1,47,"47,"
4835 -ÿSÆo Crist¢vÆo (Selho),1,48,"48,"
4815 -ÿSÆo Faustino,1,49,"49,"
4805 -ÿSÆo JoÆo AirÆo,1,50,"50,"
4835 -ÿSÆo Jorge (Selho),1,51,"51,"
4805 -ÿSÆo Louren‡o Sande,1,52,"52,"
4800 -ÿSÆo Louren‡o (Selho),1,53,"53,"
4835 -ÿSÆo Martinho (Candoso),1,54,"54,"
4805 -ÿSÆo Martinho Sande,1,55,"55,"
4810 -ÿSÆo Paio (GuimarÆes),1,56,"56,"
4800 -ÿSouto (SÆo Salvador),1,57,"57,"
4810 -ÿSÆo SebastiÆo (GuimarÆes),1,58,"58,"
4810 -ÿSÆo Tom‚ Aba‡Æo,1,59,"59,"
4800 -ÿSÆo Torcato,1,60,"60,"
4765 -ÿSerzedelo,1,61,"61,"
4810 -ÿSerzedo,1,62,"62,"
4835 -ÿSilvares,1,63,"63,"
4835 -ÿTabuadelo,1,64,"64,"
4810 -ÿUrgezes,1,65,"65,"
4805 -ÿVermil,1,66,"66,"
4805 -ÿVila Nova Sande,1,67,"67,"
4805 -ÿCorvite,1,68,"68,"
P¢voa de Lanhosoÿmunicipality[edit],0,69,"69,"
4830 -ÿµguas Santas,1,0,"0,"
4830 -ÿAjude,1,1,"1,"
4830 -ÿBrunhais,1,2,"2,"
4830 -ÿCalvos,1,3,"3,"
4830 -ÿCampos,1,4,"4,"
4830 -ÿCovelas,1,5,"5,"
4830 -ÿEsperan‡a,1,6,"6,"
4830 -ÿFerreiros,1,7,"7,"
4830 -ÿFonte Arcada,1,8,"8,"
4830 -ÿFrades,1,9,"9,"
4830 -ÿFriande,1,10,"10,"
4830 -ÿGalegos,1,11,"11,"
4830 -ÿGarfe,1,12,"12,"
4830 -ÿGeraz do Minho,1,13,"13,"
4830 -ÿLanhoso,1,14,"14,"
4830 -ÿLouredo,1,15,"15,"
4830 -ÿMonsul,1,16,"16,"
4830 -ÿMoure,1,17,"17,"
4830 -ÿNossa Senhora do Amparo,1,18,"18,"
4830 -ÿOliveira,1,19,"19,"
4830 -ÿRendufinho,1,20,"20,"
4830 -ÿSanto EmiliÆo,1,21,"21,"
4830 -ÿSÆo JoÆo de Rei,1,22,"22,"
4830 -ÿSerzedelo,1,23,"23,"
4830 -ÿSobradelo da Goma,1,24,"24,"
4830 -ÿTa¡de,1,25,"25,"
4830 -ÿTravassos,1,26,"26,"
4830 -ÿVerim,1,27,"27,"
4830 -ÿVilela,1,28,"28,"
Terras de Bouroÿmunicipality[edit],0,29,"29,"
4840 -ÿBalan‡a,1,0,"0,"
4840 -ÿBrufe,1,1,"1,"
4840 -ÿCampo do Gerˆs,1,2,"2,"
4840 -ÿCarvalheira,1,3,"3,"
4840 -ÿChamoim,1,4,"4,"
4840 -ÿChorense (Santa Marinha),1,5,"5,"
4840 -ÿCibäes,1,6,"6,"
4840 -ÿCovide (SÆo Mamede),1,7,"7,"
4840 -ÿGondoriz,1,8,"8,"
4840 -ÿMoimenta (Santo Andr‚),1,9,"9,"
4840 -ÿMonte (Santa Isabel),1,10,"10,"
4840 -ÿRibeira,1,11,"11,"
4845 -ÿRio Caldo,1,12,"12,"
4840 -ÿSouto,1,13,"13,"
4845 -ÿValdosende,1,14,"14,"
4840 -ÿVilar,1,15,"15,"
4845 -ÿVilar da Veiga,1,16,"16,"
Vieira do Minhoÿmunicipality[edit],0,17,"17,"
4850 -ÿAniss¢,1,0,"0,"
4850 - Anjos,1,1,"1,"
4850 -ÿCampos,1,2,"2,"
4850 -ÿCani‡ada,1,3,"3,"
4850 -ÿCantelÆes,1,4,"4,"
4850 -ÿCova,1,5,"5,"
4850 -ÿEira Vedra,1,6,"6,"
4850 -ÿGuilhofrei,1,7,"7,"
4850 -ÿLouredo,1,8,"8,"
4850 -ÿMosteiro,1,9,"9,"
4850 -ÿParada do Bouro,1,10,"10,"
4850 -ÿPinheiro,1,11,"11,"
4850 -ÿRossas,1,12,"12,"
4850 -ÿRuivÆes,1,13,"13,"
4850 -ÿSalamonde,1,14,"14,"
4850 -ÿSoengas,1,15,"15,"
4850 -ÿSoutelo,1,16,"16,"
4850 -ÿTabua‡as,1,17,"17,"
4850 -ÿVentosa,1,18,"18,"
4850 -ÿVieira do Minho,1,19,"19,"
4850 -ÿVilar ChÆo,1,20,"20,"
Vila Nova de FamalicÆoÿmunicipality[edit],0,21,"21,"
4770 -ÿAbade de Vermoim,1,0,"0,"
4760 -ÿAntas,1,1,"1,"
4770 -ÿAvidos,1,2,"2,"
4765 -ÿBairro,1,3,"3,"
4770 -ÿBente,1,4,"4,"
4760 -ÿBrufe,1,5,"5,"
4770 -ÿCabe‡udos,1,6,"6,"
4760 -ÿCalend rio,1,7,"7,"
4765 -ÿCarreira,1,8,"8,"
4770 -ÿCasteläes,1,9,"9,"
4760 -ÿCavaläes,1,10,"10,"
4770 -ÿCruz,1,11,"11,"
4765 -ÿDelÆes,1,12,"12,"
4760 -ÿEsmeriz,1,13,"13,"
4760 -ÿFradelos,1,14,"14,"
4760 -ÿGaviÆo,1,15,"15,"
4760 -ÿGondifelos,1,16,"16,"
4770 -ÿJesufrei,1,17,"17,"
4770 -ÿJoane,1,18,"18,"
4770 -ÿLagoa,1,19,"19,"
4770 -ÿLandim,1,20,"20,"
4775 -ÿLemenhe,1,21,"21,"
4760 -ÿLouro,1,22,"22,"
4760 -ÿLousado,1,23,"23,"
4770 -ÿMogege,1,24,"24,"
4770 -ÿMouquiTm,1,25,"25,"
4775 -ÿNine,1,26,"26,"
4765 -ÿNovais,1,27,"27,"
4760 -ÿOutiz,1,28,"28,"
4765 -ÿPedome,1,29,"29,"
4770 -ÿPortela,1,30,"30,"
4770 -ÿPousada de Saramagos,1,31,"31,"
4770 -ÿRequiÆo,1,32,"32,"
4765 -ÿRiba de Ave,1,33,"33,"
4760 -ÿRibeirÆo,1,34,"34,"
4770 -ÿRuivÆes,1,35,"35,"
4775 -ÿArnoso (Santa Eul lia),1,36,"36,"
4770 -ÿArnoso (Santa Maria),1,37,"37,"
4765 -ÿSanta Maria Oliveira,1,38,"38,"
4770 -ÿSÆo Cosme Vale,1,39,"39,"
4770 -ÿSÆo Martinho Vale,1,40,"40,"
4765 -ÿSÆo Mateus Oliveira,1,41,"41,"
4770 -ÿSÆo Miguel Seide,1,42,"42,"
4770 -ÿSÆo Paio Seide,1,43,"43,"
4770 -ÿSezures,1,44,"44,"
4770 -ÿTelhado,1,45,"45,"
4770 -ÿVermoim,1,46,"46,"
4760 -ÿVila Nova de FamalicÆo,1,47,"47,"
4760 -ÿVilarinho das Cambas,1,48,"48,"
Vila Verde Municipality[edit],0,49,"49,"
4730 -ÿAboim da N¢brega,1,0,"0,"
4730 -ÿArcozelo,1,1,"1,"
4730 -ÿAtÆes,1,2,"2,"
4730 -ÿAtiÆes,1,3,"3,"
4730 -ÿAzäes,1,4,"4,"
4730 -ÿBarbudo,1,5,"5,"
4730 -ÿBarros,1,6,"6,"
4730 -ÿCabanelas,1,7,"7,"
4730 -ÿCervÆes,1,8,"8,"
4730 -ÿCodeceda,1,9,"9,"
4730 -ÿCoucieiro,1,10,"10,"
4730 -ÿCovas,1,11,"11,"
4730 -ÿDossÆos,1,12,"12,"
4730 -ÿDuas Igrejasÿ[pt],1,13,"13,"
4730 -ÿEsqueiros,1,14,"14,"
4730 -ÿFreiriz,1,15,"15,"
4730 -ÿGeme,1,16,"16,"
4730 -ÿGoÆes (SÆo Pedro),1,17,"17,"
4730 -ÿGodinha‡os,1,18,"18,"
4730 -ÿGomide,1,19,"19,"
4730 -ÿGondiÆes,1,20,"20,"
4730 -ÿGondomar,1,21,"21,"
4730 -ÿLage,1,22,"22,"
4730 -ÿLanhas,1,23,"23,"
4730 -ÿLoureira,1,24,"24,"
4730 -ÿMarrancos,1,25,"25,"
4730 -ÿM¢s,1,26,"26,"
4730 -ÿMoure,1,27,"27,"
4730 -ÿNevogilde,1,28,"28,"
4730 -ÿOleiros,1,29,"29,"
4730 -ÿParada de Gatim,1,30,"30,"
4730 -ÿPass¢,1,31,"31,"
4730 -ÿPedregais,1,32,"32,"
4730 -ÿPenascais,1,33,"33,"
4730 -ÿPico,1,34,"34,"
4730 -ÿPico de Regalados,1,35,"35,"
4730 -ÿPonte,1,36,"36,"
4730 -ÿPortela das Cabras,1,37,"37,"
4730 -ÿRio Mau,1,38,"38,"
4730 -ÿSabariz,1,39,"39,"
4730 -ÿSande,1,40,"40,"
4730 -ÿVila de Prado,1,41,"41,"
4730 -ÿOriz (Santa Marinha),1,42,"42,"
4730 -ÿSantiago Carreiras,1,43,"43,"
4730 -ÿSÆo Mamede (Escariz),1,44,"44,"
4730 -ÿSÆo Martinho (Escariz),1,45,"45,"
4730 -ÿSÆo Martinho Valbom,1,46,"46,"
4730 -ÿSÆo Miguel Carreiras,1,47,"47,"
4730 -ÿOriz (SÆo Miguel),1,48,"48,"
4730 -ÿPrado (SÆo Miguel),1,49,"49,"
4730 -ÿSÆo Pedro Valbom,1,50,"50,"
4730 -ÿSoutelo,1,51,"51,"
4730 -ÿTravass¢s,1,52,"52,"
4730 -ÿTuriz,1,53,"53,"
4730 -ÿValdreu,1,54,"54,"
4730 -ÿValäes,1,55,"55,"
4730 -ÿVila Verde,1,56,"56,"
4730 -ÿVilarinho,1,57,"57,"
Vizela Municipality[edit],0,58,"58,"
4620 -ÿSanta Eul lia,1,0,"0,"
4815 -ÿSÆo JoÆo (Caldas de Vizela),1,1,"1,"
4815 -ÿSÆo Miguel (Caldas de Vizela),1,2,"2,"
4815 -ÿInfias,1,3,"3,"
4815 -ÿTagilde,1,4,"4,"
4815 -ÿVizela (Santo AdriÆo),1,5,"5,"
4815 -ÿVizela (SÆo Paio),1,6,"6,"
,0,7,"7,"
Bragan‡a District[edit],0,0,"0,"
Alfƒndega da F‚ÿmunicipality[edit],0,0,"0,"
5350 -ÿAgrobom,1,0,"0,"
5350 -ÿAlfƒndega da F‚,1,1,"1,"
5350 -ÿCerejais,1,2,"2,"
5350 -ÿEucisia,1,3,"3,"
5350 -ÿFerradosa,1,4,"4,"
5350 -ÿGebelim,1,5,"5,"
5350 -ÿGouveia,1,6,"6,"
5350 -ÿParada,1,7,"7,"
5350 -ÿPombal,1,8,"8,"
5350 -ÿSaldonha,1,9,"9,"
5350 -ÿSambade,1,10,"10,"
5350 -ÿSendim da Ribeira,1,11,"11,"
5350 -ÿSendim da Serra,1,12,"12,"
5350 -ÿSoeima,1,13,"13,"
5350 -ÿVale Pereiro,1,14,"14,"
5350 -ÿVales,1,15,"15,"
5350 -ÿValverde,1,16,"16,"
5350 -ÿVilar ChÆo,1,17,"17,"
5350 -ÿVilarelhos,1,18,"18,"
5350 -ÿVilares de Vilari‡a,1,19,"19,"
Bragan‡aÿmunicipality[edit],0,20,"20,"
5300 -ÿAlfaiÆo,1,0,"0,"
5300 -ÿAveleda,1,1,"1,"
5300 -ÿBabe,1,2,"2,"
5300 -ÿBa‡al,1,3,"3,"
5300 -ÿCalvelhe,1,4,"4,"
5300 -ÿCarragosa,1,5,"5,"
5300 -ÿCarrazedo,1,6,"6,"
5300 -ÿCastrelos,1,7,"7,"
5300 -ÿCastro de AvelÆs,1,8,"8,"
5300 -ÿCoelhoso,1,9,"9,"
5300 -ÿDeilÆo,1,10,"10,"
5300 -ÿDonai,1,11,"11,"
5300 -ÿEspinhosela,1,12,"12,"
5300 -ÿFailde,1,13,"13,"
5300 -ÿFran‡a,1,14,"14,"
5300 -ÿGimonde,1,15,"15,"
5300 -ÿGondesende,1,16,"16,"
5300 -ÿGostei,1,17,"17,"
5300 -ÿGrij¢ de Parada,1,18,"18,"
5300 -ÿIzeda,1,19,"19,"
5300 -ÿMacedo do Mato,1,20,"20,"
5300 -ÿMeixedo,1,21,"21,"
5300 -ÿMilhÆo,1,22,"22,"
5300 -ÿM¢s,1,23,"23,"
5300 -ÿNogueira,1,24,"24,"
5300 -ÿOuteiro,1,25,"25,"
5300 -ÿParada,1,26,"26,"
5300 -ÿParadinha Nova,1,27,"27,"
5300 -ÿParƒmio,1,28,"28,"
5300 -ÿPinela,1,29,"29,"
5300 -ÿPombares,1,30,"30,"
5300 -ÿQuintanilha,1,31,"31,"
5300 -ÿQuintela de Lampa‡as,1,32,"32,"
5300 -ÿRabal,1,33,"33,"
5300 -ÿRebordainhos,1,34,"34,"
5300 -ÿRebordÆos,1,35,"35,"
5300 -ÿRio Frio,1,36,"36,"
5300 -ÿRio de Onor,1,37,"37,"
5300 -ÿSalsas,1,38,"38,"
5300 -ÿSamil,1,39,"39,"
5300 -ÿSanta Comba de Rossas,1,40,"40,"
5300 -ÿSanta Maria,1,41,"41,"
5300 -ÿSÆo JuliÆo de Pal cios,1,42,"42,"
5300 -ÿSÆo Pedro de Sarracenos,1,43,"43,"
5301 -ÿS‚,1,44,"44,"
5300 -ÿSendas,1,45,"45,"
5300 -ÿSerapicos,1,46,"46,"
5300 -ÿSortes,1,47,"47,"
5300 -ÿZoio,1,48,"48,"
Carrazeda de AnsiÆesÿmunicipality[edit],0,49,"49,"
5140 -ÿAmedo,1,0,"0,"
5140 -ÿBeira Grande,1,1,"1,"
5140 -ÿBelver,1,2,"2,"
5140 -ÿCarrazeda de AnsiÆes,1,3,"3,"
5140 -ÿCastanheiro,1,4,"4,"
5140 -ÿFonte Longa,1,5,"5,"
5140 -ÿLavandeira,1,6,"6,"
5140 -ÿLinhares,1,7,"7,"
5140 -ÿMarzagÆo,1,8,"8,"
5140 -ÿMogo de Malta,1,9,"9,"
5140 -ÿParambos,1,10,"10,"
5140 -ÿPereiros,1,11,"11,"
5140 -ÿPinhal do Norte,1,12,"12,"
5140 -ÿPombal,1,13,"13,"
5140 -ÿRibalonga,1,14,"14,"
5140 -ÿSeixo de AnsiÆes,1,15,"15,"
5140 -ÿSelores,1,16,"16,"
5140 -ÿVilarinho da Castanheira,1,17,"17,"
5140 -ÿZedes,1,18,"18,"
Freixo Espada … Cintaÿmunicipality[edit],0,19,"19,"
5180 -ÿFornos,1,0,"0,"
5180 -ÿFreixo de Espada … Cinta,1,1,"1,"
5180 -ÿLagoa‡a,1,2,"2,"
5180 -ÿLigares,1,3,"3,"
5180 -ÿMazouco,1,4,"4,"
5180 -ÿPoiares,1,5,"5,"
Macedo de Cavaleirosÿmunicipality[edit],0,6,"6,"
5340 -ÿAla,1,0,"0,"
5340 -ÿAmendoeira,1,1,"1,"
5340 -ÿArcas,1,2,"2,"
5340 -ÿBagueixe,1,3,"3,"
5340 -ÿBornes,1,4,"4,"
5340 -ÿBurga,1,5,"5,"
5340 -ÿCarrapatas,1,6,"6,"
5340 -ÿCastelÆos,1,7,"7,"
5340 -ÿChacim,1,8,"8,"
5340 -ÿCorti‡os,1,9,"9,"
5340 -ÿCorujas,1,10,"10,"
5340 -ÿEdroso,1,11,"11,"
5340 -ÿEspadanedo,1,12,"12,"
5340 -ÿFerreira,1,13,"13,"
5340 -ÿGrij¢,1,14,"14,"
5340 -ÿLagoa,1,15,"15,"
5340 -ÿLamalonga,1,16,"16,"
5340 -ÿLamas,1,17,"17,"
5340 -ÿLombo,1,18,"18,"
5340 -ÿMacedo de Cavaleiros,1,19,"19,"
5340 -ÿMorais,1,20,"20,"
5340 -ÿMur‡¢s,1,21,"21,"
5340 -ÿOlmos,1,22,"22,"
5340 -ÿPeredo,1,23,"23,"
5340 -ÿPodence,1,24,"24,"
5340 -ÿSalselas,1,25,"25,"
5340 -ÿSanta Combinha,1,26,"26,"
5340 -ÿSesulfe,1,27,"27,"
5340 -ÿSoutelo Mourisco,1,28,"28,"
5340 -ÿTalhas,1,29,"29,"
5340 -ÿTalhinhas,1,30,"30,"
5340 -ÿVale Benfeito,1,31,"31,"
5340 -ÿVale da Porca,1,32,"32,"
5340 -ÿVale de Prados,1,33,"33,"
5340 -ÿVilar do Monte,1,34,"34,"
5340 -ÿVilarinho de AgrochÆo,1,35,"35,"
5340 -ÿVilarinho do Monte,1,36,"36,"
5340 -ÿVinhas,1,37,"37,"
Miranda do Douroÿmunicipality[edit],0,38,"38,"
5225 -ÿAtenor,1,0,"0,"
5210 -ÿCicouro,1,1,"1,"
5210 -ÿConstantim,1,2,"2,"
5210 -ÿDuas Igrejas,1,3,"3,"
5210 -ÿGen¡sio,1,4,"4,"
5210 -ÿIfanes,1,5,"5,"
5210 -ÿMalhadas,1,6,"6,"
5210 -ÿMiranda do Douro,1,7,"7,"
5225 -ÿPala‡oulo,1,8,"8,"
5210 -ÿParadela,1,9,"9,"
5225 -ÿPicote,1,10,"10,"
5210 -ÿP¢voa,1,11,"11,"
5210 -ÿSÆo Martinho de Angueira,1,12,"12,"
5225 -ÿSendim,1,13,"13,"
5225 -ÿSilva,1,14,"14,"
5210 -ÿVila ChÆ de Braciosa,1,15,"15,"
5225 -ÿµguas Vivas,1,16,"16,"
Mirandelaÿmunicipality[edit],0,17,"17,"
5370 -ÿAbambres,1,0,"0,"
5370 -ÿAbreiro,1,1,"1,"
5385 -ÿAguieiras,1,2,"2,"
5370 -ÿAlvites,1,3,"3,"
5370 -ÿAvantos,1,4,"4,"
5370 -ÿAvidagos,1,5,"5,"
5370 -ÿBarcel,1,6,"6,"
5385 -ÿBou‡a,1,7,"7,"
5370 -ÿCabanelas,1,8,"8,"
5370 -ÿCaravelas,1,9,"9,"
5370 -ÿCarvalhais,1,10,"10,"
5370 -ÿCedÆes,1,11,"11,"
5370 -ÿCobro,1,12,"12,"
5385 -ÿFradizela,1,13,"13,"
5370 -ÿFranco,1,14,"14,"
5370 -ÿFrechas,1,15,"15,"
5370 -ÿFreixeda,1,16,"16,"
5370 -ÿLamas de OrelhÆo,1,17,"17,"
5370 -ÿMarmelos,1,18,"18,"
5370 -ÿMascarenhas,1,19,"19,"
5370 -ÿMirandela,1,20,"20,"
5385 -ÿM£rias,1,21,"21,"
5370 -ÿNavalho,1,22,"22,"
5370 -ÿPassos,1,23,"23,"
5370 -ÿPereira,1,24,"24,"
5370 -ÿRomeu,1,25,"25,"
5385 -ÿSÆo Pedro Velho,1,26,"26,"
5370 -ÿSÆo Salvador,1,27,"27,"
5370 -ÿSu‡Æes,1,28,"28,"
5385 -ÿTorre de Dona Chama,1,29,"29,"
5370 -ÿVale de Asnes,1,30,"30,"
5385 -ÿVale de Gouvinhas,1,31,"31,"
5370 -ÿVale de Salgueiro,1,32,"32,"
5385 -ÿVale de Telhas,1,33,"33,"
5370 -ÿValverde,1,34,"34,"
5370 -ÿVila Boa,1,35,"35,"
5370 -ÿVila Verde,1,36,"36,"
Mogadouroÿmunicipality[edit],0,37,"37,"
5200 -ÿAzinhoso,1,0,"0,"
5200 -ÿBemposta (Mogadouro),1,1,"1,"
5200 -ÿBru‡¢,1,2,"2,"
5200 -ÿBrunhoso,1,3,"3,"
5200 -ÿBrunhosinho,1,4,"4,"
5200 -ÿCastanheira,1,5,"5,"
5200 -ÿCastelo Branco,1,6,"6,"
5350 -ÿCastro Vicente,1,7,"7,"
5200 -ÿMeirinhos,1,8,"8,"
5200 -ÿMogadouro,1,9,"9,"
5200 -ÿParadela,1,10,"10,"
5200 -ÿPenas Roias,1,11,"11,"
5200 -ÿPeredo da Bemposta,1,12,"12,"
5200 -ÿRemondes,1,13,"13,"
5200 -ÿSaldanha,1,14,"14,"
5200 -ÿSanhoane,1,15,"15,"
5200 -ÿSÆo Martinho do Peso,1,16,"16,"
5200 -ÿSoutelo,1,17,"17,"
5200 -ÿT¢,1,18,"18,"
5200 -ÿTravanca,1,19,"19,"
5200 -ÿUrr¢s,1,20,"20,"
5200 -ÿVale da Madre,1,21,"21,"
5200 -ÿVale de Porco,1,22,"22,"
5200 -ÿValverde,1,23,"23,"
5200 -ÿVentozelo,1,24,"24,"
5200 -ÿVila de Ala,1,25,"25,"
5200 -ÿVilar de Rei,1,26,"26,"
5200 -ÿVilarinho dos Galegos,1,27,"27,"
Torre de Moncorvoÿmunicipality[edit],0,28,"28,"
5160 -ÿA‡oreira,1,0,"0,"
5160 -ÿAdeganha,1,1,"1,"
5160 -ÿCabe‡a Boa,1,2,"2,"
5160 -ÿCardanha,1,3,"3,"
5160 -ÿCarvi‡ais,1,4,"4,"
5160 -ÿCastedo,1,5,"5,"
5160 -ÿFelgar,1,6,"6,"
5160 -ÿFelgueiras,1,7,"7,"
5160 -ÿHorta da Vilari‡a,1,8,"8,"
5160 -ÿLarinho,1,9,"9,"
5160 -ÿLousa,1,10,"10,"
5160 -ÿMa‡ores,1,11,"11,"
5160 -ÿM¢s,1,12,"12,"
5160 -ÿPeredo dos Castelhanos,1,13,"13,"
5160 -ÿSouto da Velha,1,14,"14,"
5160 -ÿTorre de Moncorvo,1,15,"15,"
5160 -ÿUrros,1,16,"16,"
Vila Florÿmunicipality[edit],0,17,"17,"
5360 -ÿAssares,1,0,"0,"
5360 -ÿBenlhevai,1,1,"1,"
5360 -ÿCandoso,1,2,"2,"
5360 -ÿCarvalho de Egas,1,3,"3,"
5360 -ÿFreixiel,1,4,"4,"
5360 -ÿLodäes,1,5,"5,"
5360 -ÿMourÆo,1,6,"6,"
5360 -ÿNabo,1,7,"7,"
5360 -ÿRoios,1,8,"8,"
5360 -ÿSamäes,1,9,"9,"
5360 -ÿSampaio,1,10,"10,"
5360 -ÿSanta Comba de Vilari‡a,1,11,"11,"
5360 -ÿSeixo de Manhoses,1,12,"12,"
5360 -ÿTrindade,1,13,"13,"
5360 -ÿVale Frechoso,1,14,"14,"
5360 -ÿValtorno,1,15,"15,"
5360 -ÿVila Flor,1,16,"16,"
5360 -ÿVilarinho das Azenhas,1,17,"17,"
5360 -ÿVilas Boas,1,18,"18,"
Vimiosoÿmunicipality[edit],0,19,"19,"
5230 -ÿAlgoso,1,0,"0,"
5230 -ÿAngueira,1,1,"1,"
5230 -ÿArgozelo,1,2,"2,"
5230 -ÿAvelanoso,1,3,"3,"
5230 -ÿCa‡arelhos,1,4,"4,"
5230 -ÿCampo de V¡boras,1,5,"5,"
5230 -ÿCar‡Æo,1,6,"6,"
5230 -ÿMatela,1,7,"7,"
5230 -ÿPinelo,1,8,"8,"
5230 -ÿSantulhÆo,1,9,"9,"
5230 -ÿUva,1,10,"10,"
5230 -ÿVale de Frades,1,11,"11,"
5230 -ÿVilar Seco,1,12,"12,"
5230 -ÿVimioso,1,13,"13,"
Vinhaisÿmunicipality[edit],0,14,"14,"
5335 -ÿAgrochÆo,1,0,"0,"
5320 -ÿAlvaredos,1,1,"1,"
5335 -ÿCandedo,1,2,"2,"
5320 -ÿCelas,1,3,"3,"
5335 -ÿCuropos,1,4,"4,"
5320 -ÿEdral,1,5,"5,"
5320 -ÿEdrosa,1,6,"6,"
5335 -ÿErvedosa,1,7,"7,"
5320 -ÿFresulfe,1,8,"8,"
5320 -ÿMofreita,1,9,"9,"
5320 -ÿMoimenta,1,10,"10,"
5320 -ÿMontouto,1,11,"11,"
5320 -ÿNunes,1,12,"12,"
5320 -ÿOusilhÆo,1,13,"13,"
5320 -ÿPa‡¢,1,14,"14,"
5320 -ÿPenhas Juntas,1,15,"15,"
5320 -ÿPinheiro Novo,1,16,"16,"
5320 -ÿQuir s,1,17,"17,"
5335 -ÿRebordelo,1,18,"18,"
5320 -ÿSanta Cruz,1,19,"19,"
5320 -ÿSantalha,1,20,"20,"
5320 -ÿSÆo Jomil,1,21,"21,"
5320 -ÿSobreiro de Baixo,1,22,"22,"
5320 -ÿSoeira,1,23,"23,"
5320 -ÿTravanca,1,24,"24,"
5320 -ÿTuizelo,1,25,"25,"
5335 -ÿVale das Fontes,1,26,"26,"
5335 -ÿVale de Janeiro,1,27,"27,"
5320 -ÿVila Boa de OusilhÆo,1,28,"28,"
5320 -ÿVila Verde,1,29,"29,"
5320 -ÿVilar de Lomba,1,30,"30,"
5320 -ÿVilar de Ossos,1,31,"31,"
5320 -ÿVilar de Peregrinos,1,32,"32,"
5320 -ÿVilar Seco de Lomba,1,33,"33,"
5320 -ÿVinhais,1,34,"34,"
,0,35,"35,"
Castelo Branco District[edit],0,0,"0,"
Belmonteÿmunicipality[edit],0,0,"0,"
6250 -ÿBelmonte,1,0,"0,"
6250 -ÿCaria,1,1,"1,"
6250 -ÿColmeal da Torre,1,2,"2,"
6250 -ÿInguias,1,3,"3,"
6250 -ÿMa‡a¡nhas,1,4,"4,"
Castelo Branco Municipality[edit],0,5,"5,"
6005 -ÿAlcains,1,0,"0,"
6000 -ÿAlmaceda,1,1,"1,"
6000 -ÿBenqueren‡as,1,2,"2,"
6000 -ÿCafede,1,3,"3,"
6000 -ÿCastelo Branco,1,4,"4,"
6000 -ÿCebolais de Cima,1,5,"5,"
